card,reports,age,income,share,expenditure,owner,selfemp,dependents,months,majorcards,active,client_name,sex
yes,0,37,4.52,0.03,124.98,yes,no,3,54,1,12,Ivan Gomez,Male
yes,0,33,2.42,0.01,9.85,no,no,3,34,1,13,Sean Williams,Not Declared
yes,0,33,4.5,0.0,15.0,yes,no,4,58,1,5,William Beard,Male
yes,0,30,2.54,0.07,137.87,no,no,0,25,1,7,Cynthia Cuevas,Female
yes,0,32,9.79,0.07,546.5,yes,no,2,64,1,5,Julie Davis,Female
yes,0,23,2.5,0.04,92.0,no,no,0,54,1,1,Matthew Johnson,Male
yes,0,27,3.96,0.01,40.83,no,no,2,7,1,5,David Rodriguez,Male
yes,0,29,2.37,0.08,150.79,yes,no,0,77,1,3,Bryan Rodriguez,Male
yes,0,37,3.8,0.25,777.82,yes,no,0,97,1,6,Gregory Graves,Male
yes,0,28,3.2,0.02,52.58,no,no,0,65,1,18,Sarah Rivera,Female
yes,0,30,3.95,0.08,256.66,yes,no,1,24,1,20,Steven Reese,Male
no,0,42,1.98,0.0,0.0,yes,no,2,36,1,0,John Mason,Male
no,0,30,1.73,0.0,0.0,yes,no,1,42,0,12,David Andrews,Male
yes,0,28,2.45,0.04,78.87,yes,no,0,26,1,3,Micheal Le,Male
yes,0,35,1.91,0.03,42.62,yes,no,2,120,0,5,Matthew Valdez,Male
yes,0,41,3.2,0.13,335.44,yes,no,1,168,1,22,Jason Rhodes,Male
yes,0,40,4.0,0.07,248.72,yes,no,2,96,1,0,Amy Horn,Female
no,7,29,3.0,0.0,0.0,yes,no,2,60,1,8,Cassie Yoder,Female
yes,0,39,10.0,0.07,548.04,yes,yes,0,28,1,0,David Wang,Male
no,3,45,3.4,0.0,0.0,no,no,0,28,1,10,Pamela Williams,Female
yes,0,35,2.35,0.02,43.34,yes,no,2,115,1,1,Gordon Fuller,Male
no,1,25,1.88,0.0,0.0,no,no,2,7,0,2,Jennifer Rodriguez,Female
yes,0,34,2.0,0.13,218.52,yes,no,0,12,1,0,Brad Nichols,Male
yes,1,35,4.0,0.05,170.64,no,no,2,18,1,22,Christopher Huff,Male
yes,0,42,5.14,0.01,37.58,yes,no,2,13,1,17,Greg Oliver,Male
yes,0,30,4.51,0.13,502.2,no,no,2,38,1,7,Brandon Myers,Male
no,0,21,3.84,0.0,0.0,no,yes,1,12,0,1,Terry Stewart,Male
yes,0,22,1.5,0.06,73.18,no,no,0,64,1,6,Russell Tyler,Male
no,0,34,2.5,0.0,0.0,yes,no,1,12,1,0,Christopher Johnson,Male
yes,0,40,5.5,0.33,1532.77,yes,no,4,74,1,19,James Green,Male
yes,0,21,2.03,0.03,42.69,no,no,0,9,0,5,Adam Clayton,Male
yes,1,29,3.2,0.16,417.84,no,no,0,14,1,6,Nathaniel Aguirre,Male
no,1,24,3.15,0.0,0.0,yes,no,1,40,1,5,Richard Horton,Male
yes,0,21,2.47,0.27,552.72,yes,no,1,12,1,10,Frank Levine,Male
yes,0,23,3.0,0.09,222.54,no,no,0,12,1,5,Judith Salas,Female
yes,0,42,3.54,0.18,541.3,yes,no,6,108,1,15,Patricia Norris,Female
no,0,42,2.28,0.0,0.0,no,no,2,46,1,0,Joshua Conner,Male
yes,0,36,5.7,0.12,568.77,yes,no,1,36,1,16,Shawn Jones,Not Declared
yes,0,26,3.5,0.12,344.47,no,no,0,2,1,14,Robert Mercer,Male
yes,0,27,4.6,0.11,405.35,yes,no,4,28,1,13,Amy Rivera,Female
yes,0,26,3.0,0.12,310.94,yes,no,0,7,1,10,Richard Rice,Male
yes,0,23,2.58,0.03,53.64,no,no,0,8,1,1,Jake Foley,Male
yes,0,29,1.51,0.05,63.92,no,no,1,7,0,1,Andre Knox,Male
yes,0,30,1.85,0.11,165.86,no,no,0,60,1,12,Sharon Tran,Female
yes,0,38,2.6,0.0,9.58,no,no,0,12,1,1,Richard Bell,Male
no,0,28,1.8,0.0,0.0,no,yes,2,26,1,2,Austin Burns,Male
yes,0,35,2.0,0.19,319.49,no,no,0,156,1,4,Matthew Hayes,Male
no,0,37,3.26,0.0,0.0,no,no,1,98,0,1,Andrew Reilly,Male
yes,0,26,2.35,0.04,83.08,no,no,1,30,0,2,Jill Flores,Female
yes,0,27,7.0,0.11,644.83,yes,no,0,0,1,13,Bobby Odonnell,Male
no,0,49,3.6,0.0,0.0,no,no,2,12,0,0,Sean Choi,Male
yes,0,24,2.0,0.06,93.2,no,no,0,18,1,12,Sara Moreno,Female
yes,0,20,1.7,0.07,105.04,no,no,0,6,1,4,Kevin Stone,Male
yes,0,23,2.8,0.01,34.12,no,no,2,48,1,8,Michael Jones,Male
yes,0,25,2.4,0.02,41.19,no,no,0,34,1,2,Michael Snyder,Male
yes,1,32,3.0,0.07,169.89,no,no,0,216,0,5,James Davis,Male
yes,0,34,4.8,0.47,1898.03,no,no,3,12,1,1,Paul Livingston,Not Declared
yes,0,33,3.18,0.31,810.39,no,no,4,18,0,3,Jaime Murray,Not Declared
no,0,44,1.8,0.0,0.0,no,no,2,33,0,0,Emma Yang,Female
yes,0,21,1.5,0.03,32.78,no,no,0,20,1,4,Sharon Johnson,Female
yes,2,25,3.0,0.04,95.8,no,no,0,8,0,4,Zachary Cruz,Male
yes,0,27,2.28,0.01,27.78,no,no,3,36,1,5,James Green,Male
yes,0,26,2.8,0.09,215.07,no,no,1,12,1,16,Erin Rodriguez,Female
yes,0,22,2.7,0.04,79.51,no,no,0,3,1,0,Willie Arnold,Male
no,3,27,4.9,0.0,0.0,yes,no,2,16,1,15,Thomas Smith,Male
no,0,26,2.5,0.0,0.0,no,yes,0,18,0,0,Laurie Bowen,Not Declared
yes,0,40,6.0,0.06,306.03,no,yes,2,182,1,16,Lydia Edwards,Female
yes,0,42,3.9,0.03,104.54,no,no,0,78,1,2,James Jones,Male
no,0,21,5.1,0.0,0.0,no,no,0,25,1,0,Brooke Jordan,Female
yes,0,24,3.07,0.25,642.47,no,no,0,4,1,0,Brianna Elliott,Female
yes,0,30,2.46,0.15,308.05,yes,no,2,53,1,16,Michael White,Male
yes,0,27,2.0,0.11,186.35,no,no,0,9,1,5,Bruce Simmons,Male
